,Date,Sg. Temerloh (m)
986,2018-09-13,23.57
987,2018-09-14,23.89
988,2018-09-15,24.67
989,2018-09-16,24.19
990,2018-09-17,24.06
991,2018-09-18,23.89
992,2018-09-19,23.73
993,2018-09-20,23.92
994,2018-09-21,24.44
995,2018-09-22,24.85
996,2018-09-23,24.62
997,2018-09-24,24.18
998,2018-09-25,23.78
999,2018-09-26,23.6
1000,2018-09-27,23.59
1001,2018-09-28,23.86
1002,2018-09-29,25.84
1003,2018-09-30,25.2
1004,2018-01-10,24.07
1005,2018-02-10,23.71
1006,2018-03-10,23.73
1007,2018-04-10,24.33
1008,2018-05-10,24.49
1009,2018-06-10,24.35
1010,2018-07-10,24.39
1011,2018-08-10,24.34
1012,2018-09-10,24.09
1013,2018-10-10,24.28
1014,2018-11-10,24.35
1015,2018-12-10,24.21
1016,2018-10-13,24.28
1017,2018-10-14,24.09
1018,2018-10-15,24.99
1019,2018-10-16,26.11
1020,2018-10-17,25.38
1021,2018-10-18,25.16
1022,2018-10-19,25.34
1023,2018-10-20,25.79
1024,2018-10-21,26.02
1025,2018-10-22,25.28
1026,2018-10-23,24.61
1027,2018-10-24,24.86
1028,2018-10-25,25.43
1029,2018-10-26,25.39
1030,2018-10-27,25.43
1031,2018-10-28,25.94
1032,2018-10-29,25.11
1033,2018-10-30,25.12
1034,2018-10-31,25.12
1035,2018-01-11,25.05
1036,2018-02-11,24.89
1037,2018-03-11,24.91
1038,2018-04-11,25.44
1039,2018-05-11,25.69
1040,2018-06-11,25.51
1041,2018-07-11,25.51
1042,2018-08-11,25.46
1043,2018-09-11,25.51
1044,2018-10-11,26.21
1045,2018-11-11,26.32
1046,2018-12-11,26.26
1047,2018-11-13,26.24
1048,2018-11-14,25.95
1049,2018-11-15,25.81
1050,2018-11-16,25.67
1051,2018-11-17,25.7
1052,2018-11-18,25.5
1053,2018-11-19,25.34
1054,2018-11-20,25.5
1055,2018-11-21,25.53
1056,2018-11-22,25.17
1057,2018-11-23,24.93
1058,2018-11-24,24.76
1059,2018-11-25,24.61
1060,2018-11-26,24.6
1061,2018-11-27,24.85
1062,2018-11-28,25.12
1063,2018-11-29,25.78
1064,2018-11-30,25.06
1065,2018-01-12,25.03
1066,2018-02-12,24.83
1067,2018-03-12,24.93
1068,2018-04-12,24.83
1069,2018-05-12,25.03
1070,2018-06-12,25.04
1071,2018-07-12,24.97
1072,2018-08-12,25.52
1073,2018-09-12,25.89
1074,2018-10-12,25.8
1075,2018-11-12,25.62
1076,2018-12-12,25.76
1077,2018-12-13,25.63
1078,2018-12-14,26.21
1079,2018-12-15,27.18
1080,2018-12-16,26.68
1081,2018-12-17,25.98
1082,2018-12-18,25.65
1083,2018-12-19,25.46
1084,2018-12-20,25.54
1085,2018-12-21,26.96
1086,2018-12-22,26.73
1087,2018-12-23,25.61
1088,2018-12-24,25.04
1089,2018-12-25,24.98
1090,2018-12-26,25.81
1091,2018-12-27,25.9
1092,2018-12-28,26.27
1093,2018-12-29,26.27
1094,2018-12-30,26.27
1095,2018-12-31,26.27
1096,2019-01-01,24.77
1097,2019-02-01,24.97
1098,2019-03-01,24.79
1099,2019-04-01,24.49
1100,2019-05-01,24.34
1101,2019-06-01,24.24
1102,2019-07-01,24.17
1103,2019-08-01,24.19
1104,2019-09-01,24.3
1105,2019-10-01,24.28
1106,2019-11-01,24.51
1107,2019-12-01,24.71
1108,2019-01-13,24.42
1109,2019-01-14,24.26
1110,2019-01-15,24.21
1111,2019-01-16,24.08
1112,2019-01-17,23.97
1113,2019-01-18,23.93
1114,2019-01-19,23.98
1115,2019-01-20,24.03
1116,2019-01-21,23.91
1117,2019-01-22,23.84
1118,2019-01-23,23.77
1119,2019-01-24,23.72
1120,2019-01-25,23.69
1121,2019-01-26,23.66
1122,2019-01-27,23.61
1123,2019-01-28,23.56
1124,2019-01-29,23.57
1125,2019-01-30,23.59
1126,2019-01-31,23.67
1127,2019-01-02,23.93
1128,2019-02-02,23.89
1129,2019-03-02,23.92
1130,2019-04-02,23.91
1131,2019-05-02,23.84
1132,2019-06-02,23.71
1133,2019-07-02,23.49
1134,2019-08-02,23.4
1135,2019-09-02,23.35
1136,2019-10-02,23.37
1137,2019-11-02,23.35
1138,2019-12-02,23.34
1139,2019-02-13,23.31
1140,2019-02-14,23.28
1141,2019-02-15,23.37
1142,2019-02-16,23.46
1143,2019-02-17,23.42
1144,2019-02-18,23.4
1145,2019-02-19,23.47
1146,2019-02-20,23.84
1147,2019-02-21,24.24
1148,2019-02-22,23.85
1149,2019-02-23,23.6
1150,2019-02-24,23.44
1151,2019-02-25,23.33
1152,2019-02-26,23.23
1153,2019-02-27,23.18
1154,2019-02-28,23.2
1155,2019-01-03,23.18
1156,2019-02-03,23.11
1157,2019-03-03,23.08
1158,2019-04-03,23.05
1159,2019-05-03,23.01
1160,2019-06-03,23.02
1161,2019-07-03,23.05
1162,2019-08-03,23.05
1163,2019-09-03,23.05
1164,2019-10-03,23.05
1165,2019-11-03,23.03
1166,2019-12-03,22.99
1167,2019-03-13,22.99
1168,2019-03-14,23.03
1169,2019-03-15,23.08
1170,2019-03-16,23.06
1171,2019-03-17,22.97
1172,2019-03-18,22.97
1173,2019-03-19,23.01
1174,2019-03-20,23.49
1175,2019-03-21,23.54
1176,2019-03-22,23.6
1177,2019-03-23,23.69
1178,2019-03-24,23.65
1179,2019-03-25,23.65
1180,2019-03-26,23.84
1181,2019-03-27,23.88
1182,2019-03-28,23.78
1183,2019-03-29,23.69
1184,2019-03-30,23.9
1185,2019-03-31,24.59
1186,2019-01-04,24.23
1187,2019-02-04,24.46
1188,2019-03-04,24.67
1189,2019-04-04,24.71
1190,2019-05-04,24.65
1191,2019-06-04,24.25
1192,2019-07-04,23.96
1193,2019-08-04,23.81
1194,2019-09-04,23.7
1195,2019-10-04,23.67
1196,2019-11-04,23.74
1197,2019-12-04,23.66
1198,2019-04-13,23.65
1199,2019-04-14,23.73
1200,2019-04-15,24.03
1201,2019-04-16,23.9
1202,2019-04-17,23.95
1203,2019-04-18,23.97
1204,2019-04-19,23.84
1205,2019-04-20,23.73
1206,2019-04-21,23.68
1207,2019-04-22,23.67
1208,2019-04-23,23.55
1209,2019-04-24,23.54
1210,2019-04-25,23.63
1211,2019-04-26,23.6
1212,2019-04-27,23.6
1213,2019-04-28,23.62
1214,2019-04-29,24.33
1215,2019-04-30,25.02
1216,2019-01-05,24.03
1217,2019-02-05,24.08
1218,2019-03-05,23.99
1219,2019-04-05,23.99
1220,2019-05-05,24.15
1221,2019-06-05,24.08
1222,2019-07-05,24.04
1223,2019-08-05,23.9
1224,2019-09-05,23.79
1225,2019-10-05,23.69
1226,2019-11-05,23.6
1227,2019-12-05,23.59
1228,2019-05-13,23.93
1229,2019-05-14,24.77
1230,2019-05-15,24.41
1231,2019-05-16,24.72
1232,2019-05-17,25.02
1233,2019-05-18,24.65
1234,2019-05-19,24.23
1235,2019-05-20,24.13
1236,2019-05-21,23.97
1237,2019-05-22,24.04
1238,2019-05-23,24.08
1239,2019-05-24,24.28
1240,2019-05-25,24.32
1241,2019-05-26,24.39
1242,2019-05-27,24.76
1243,2019-05-28,24.4
1244,2019-05-29,23.8
1245,2019-05-30,23.73
1246,2019-05-31,23.88
1247,2019-01-06,24.87
1248,2019-02-06,24.43
1249,2019-03-06,24.26
1250,2019-04-06,24.38
1251,2019-05-06,24.31
1252,2019-06-06,24.57
1253,2019-07-06,24.83
1254,2019-08-06,25.04
1255,2019-09-06,24.86
1256,2019-10-06,24.56
1257,2019-11-06,24.89
1258,2019-12-06,25.1
1259,2019-06-13,24.98
1260,2019-06-14,24.69
1261,2019-06-15,24.31
1262,2019-06-16,24.25
1263,2019-06-17,24.17
1264,2019-06-18,24.03
1265,2019-06-19,24.02
1266,2019-06-20,24.14
1267,2019-06-21,24.1
1268,2019-06-22,24.41
1269,2019-06-23,24.5
1270,2019-06-24,24.15
1271,2019-06-25,24.06
1272,2019-06-26,23.96
1273,2019-06-27,23.87
1274,2019-06-28,23.88
1275,2019-06-29,24.08
1276,2019-06-30,24.07
1277,2019-01-07,23.71
