,Date,Sg. Golok (m)
471,2017-04-16,4.19
472,2017-04-17,4.06
473,2017-04-18,3.96
474,2017-04-19,4.21
475,2017-04-20,4.32
476,2017-04-21,4.16
477,2017-04-22,3.94
478,2017-04-23,4.0
479,2017-04-24,4.0
480,2017-04-25,4.05
481,2017-04-26,4.03
482,2017-04-27,3.84
483,2017-04-28,3.76
484,2017-04-29,5.04
485,2017-04-30,4.97
486,2017-01-05,3.65
487,2017-02-05,3.58
488,2017-03-05,3.54
489,2017-04-05,3.5
490,2017-05-05,3.48
491,2017-06-05,3.63
492,2017-07-05,3.6
493,2017-08-05,3.58
494,2017-09-05,3.52
495,2017-10-05,3.57
496,2017-11-05,3.55
497,2017-12-05,3.62
498,2017-05-13,4.02
499,2017-05-14,3.9
500,2017-05-15,4.74
501,2017-05-16,4.83
502,2017-05-17,4.32
503,2017-05-18,4.9
504,2017-05-19,6.29
505,2017-05-20,6.41
506,2017-05-21,6.25
507,2017-05-22,6.11
508,2017-05-23,6.06
509,2017-05-24,6.43
510,2017-05-25,7.02
511,2017-05-26,6.31
512,2017-05-27,5.74
513,2017-05-28,5.35
514,2017-05-29,4.4
515,2017-05-30,4.45
516,2017-05-31,5.45
517,2017-01-06,5.43
518,2017-02-06,4.85
519,2017-03-06,5.23
520,2017-04-06,5.27
521,2017-05-06,5.08
522,2017-06-06,5.18
523,2017-07-06,5.2
524,2017-08-06,4.97
525,2017-09-06,4.67
526,2017-10-06,4.52
527,2017-11-06,4.5
528,2017-12-06,5.0
529,2017-06-13,4.8
530,2017-06-14,4.95
531,2017-06-15,5.01
532,2017-06-16,4.58
533,2017-06-17,4.33
534,2017-06-18,4.17
535,2017-06-19,4.03
536,2017-06-20,4.12
537,2017-06-21,4.16
538,2017-06-22,4.6
539,2017-06-23,4.53
540,2017-06-24,4.24
541,2017-06-25,4.49
542,2017-06-26,4.42
543,2017-06-27,4.24
544,2017-06-28,4.26
545,2017-06-29,5.24
546,2017-06-30,5.0
547,2017-01-07,4.38
548,2017-02-07,5.11
549,2017-03-07,5.99
550,2017-04-07,6.43
551,2017-05-07,6.76
552,2017-06-07,6.91
553,2017-07-07,6.21
554,2017-08-07,6.03
555,2017-09-07,6.09
556,2017-10-07,5.59
557,2017-11-07,5.24
558,2017-12-07,5.23
559,2017-07-13,6.01
560,2017-07-14,6.88
561,2017-07-15,6.74
562,2017-07-16,5.84
563,2017-07-17,5.31
564,2017-07-18,4.96
565,2017-07-19,4.72
566,2017-07-20,4.48
567,2017-07-21,4.34
568,2017-07-22,4.16
569,2017-07-23,4.1
570,2017-07-24,4.32
571,2017-07-25,4.69
572,2017-07-26,4.85
573,2017-07-27,5.87
574,2017-07-28,5.76
575,2017-07-29,5.49
576,2017-07-30,5.47
577,2017-07-31,7.97
578,2017-01-08,4.74
579,2017-02-08,4.82
580,2017-03-08,5.01
581,2017-04-08,5.16
582,2017-05-08,5.07
583,2017-06-08,4.99
584,2017-07-08,4.91
585,2017-08-08,5.46
586,2017-09-08,5.79
587,2017-10-08,5.73
588,2017-11-08,5.57
589,2017-12-08,5.28
590,2017-08-13,5.4
591,2017-08-14,5.39
592,2017-08-15,5.3
593,2017-08-16,5.03
594,2017-08-17,4.78
595,2017-08-18,4.56
596,2017-08-19,4.36
597,2017-08-20,4.18
598,2017-08-21,4.07
599,2017-08-22,4.57
600,2017-08-23,4.74
601,2017-08-24,4.77
602,2017-08-25,4.8
603,2017-08-26,5.59
604,2017-08-27,5.5
605,2017-08-28,5.28
606,2017-08-29,6.56
607,2017-08-30,6.83
608,2017-08-31,6.83
609,2017-01-09,5.43
610,2017-02-09,5.34
611,2017-03-09,4.97
612,2017-04-09,5.11
613,2017-05-09,4.83
614,2017-06-09,4.87
615,2017-07-09,5.01
616,2017-08-09,5.04
617,2017-09-09,4.73
618,2017-10-09,4.49
619,2017-11-09,4.86
620,2017-12-09,4.95
621,2017-09-13,5.03
622,2017-09-14,5.12
623,2017-09-15,5.17
624,2017-09-16,4.9
625,2017-09-17,4.66
626,2017-09-18,5.43
627,2017-09-19,5.34
628,2017-09-20,5.45
629,2017-09-21,5.07
630,2017-09-22,4.64
631,2017-09-23,4.41
632,2017-09-24,4.26
633,2017-09-25,4.23
634,2017-09-26,4.36
635,2017-09-27,5.58
636,2017-09-28,6.78
637,2017-09-29,4.01
638,2017-09-30,4.02
639,2017-01-10,6.6
640,2017-02-10,6.63
641,2017-03-10,6.24
642,2017-04-10,6.02
643,2017-05-10,6.4
644,2017-06-10,6.06
645,2017-07-10,5.55
646,2017-08-10,5.25
647,2017-09-10,4.99
648,2017-10-10,5.5
649,2017-11-10,6.15
650,2017-12-10,5.99
651,2017-10-13,5.82
652,2017-10-14,5.5
653,2017-10-15,5.16
654,2017-10-16,4.95
655,2017-10-17,4.75
656,2017-10-18,4.56
657,2017-10-19,4.4
658,2017-10-20,4.37
659,2017-10-21,4.28
660,2017-10-22,4.3
661,2017-10-23,4.69
662,2017-10-24,4.68
663,2017-10-25,4.68
664,2017-10-26,4.48
665,2017-10-27,4.23
666,2017-10-28,4.08
667,2017-10-29,9.99
668,2017-10-30,9.91
669,2017-10-31,9.91
670,2017-01-11,4.19
671,2017-02-11,4.07
672,2017-03-11,4.08
673,2017-04-11,4.27
674,2017-05-11,4.44
675,2017-06-11,4.48
676,2017-07-11,4.71
677,2017-08-11,5.37
678,2017-09-11,5.54
679,2017-10-11,5.21
680,2017-11-11,4.83
681,2017-12-11,5.01
682,2017-11-13,4.91
683,2017-11-14,4.96
684,2017-11-15,5.17
685,2017-11-16,4.92
686,2017-11-17,4.76
687,2017-11-18,4.71
688,2017-11-19,4.67
689,2017-11-20,4.71
690,2017-11-21,4.78
691,2017-11-22,4.92
692,2017-11-23,5.07
693,2017-11-24,5.37
694,2017-11-25,6.03
695,2017-11-26,7.0
696,2017-11-27,8.73
697,2017-11-28,9.7
698,2017-11-29,5.26
699,2017-11-30,7.45
700,2017-01-12,10.27
701,2017-02-12,10.31
702,2017-03-12,10.19
703,2017-04-12,9.8
704,2017-05-12,9.15
705,2017-06-12,8.55
706,2017-07-12,8.29
707,2017-08-12,8.15
708,2017-09-12,7.87
709,2017-10-12,7.59
710,2017-11-12,7.2
711,2017-12-12,6.72
712,2017-12-13,6.38
713,2017-12-14,6.08
714,2017-12-15,5.73
715,2017-12-16,5.58
716,2017-12-17,5.41
717,2017-12-18,5.11
718,2017-12-19,4.77
719,2017-12-20,4.65
720,2017-12-21,4.59
721,2017-12-22,4.57
722,2017-12-23,4.61
723,2017-12-24,5.19
724,2017-12-25,5.16
725,2017-12-26,4.78
726,2017-12-27,4.57
727,2017-12-28,4.45
728,2017-12-29,4.45
729,2017-12-30,4.45
730,2017-12-31,4.45
731,2018-01-01,7.52
732,2018-02-01,7.53
733,2018-03-01,7.8
734,2018-04-01,8.26
735,2018-05-01,8.42
736,2018-06-01,8.02
737,2018-07-01,7.12
738,2018-08-01,6.47
739,2018-09-01,6.87
740,2018-10-01,6.64
741,2018-11-01,6.32
742,2018-12-01,6.94
743,2018-01-13,8.63
744,2018-01-14,9.14
745,2018-01-15,8.55
746,2018-01-16,7.45
747,2018-01-17,6.61
748,2018-01-18,6.1
749,2018-01-19,5.83
750,2018-01-20,6.06
751,2018-01-21,6.45
752,2018-01-22,6.3
753,2018-01-23,6.05
754,2018-01-24,6.49
755,2018-01-25,6.29
756,2018-01-26,5.9
757,2018-01-27,5.76
758,2018-01-28,5.62
759,2018-01-29,5.41
760,2018-01-30,5.05
761,2018-01-31,4.69
762,2018-01-02,4.54
763,2018-02-02,4.48
764,2018-03-02,4.52
765,2018-04-02,4.38
766,2018-05-02,4.3
767,2018-06-02,4.21
768,2018-07-02,4.14
769,2018-08-02,4.08
770,2018-09-02,4.02
771,2018-10-02,3.97
772,2018-11-02,3.91
773,2018-12-02,3.85
774,2018-02-13,3.81
775,2018-02-14,3.9
776,2018-02-15,4.0
777,2018-02-16,3.86
778,2018-02-17,3.79
779,2018-02-18,3.73
780,2018-02-19,3.71
781,2018-02-20,3.74
782,2018-02-21,3.71
783,2018-02-22,3.65
784,2018-02-23,3.64
785,2018-02-24,4.26
786,2018-02-25,5.09
787,2018-02-26,4.39
788,2018-02-27,4.05
789,2018-02-28,3.89
790,2018-01-03,3.79
791,2018-02-03,3.74
792,2018-03-03,3.68
793,2018-04-03,3.63
794,2018-05-03,3.59
795,2018-06-03,3.55
796,2018-07-03,3.52
797,2018-08-03,3.72
798,2018-09-03,3.82
799,2018-10-03,3.73
800,2018-11-03,3.74
801,2018-12-03,3.61
802,2018-03-13,3.54
803,2018-03-14,3.5
804,2018-03-15,3.47
805,2018-03-16,3.79
806,2018-03-17,4.23
807,2018-03-18,4.1
808,2018-03-19,3.79
809,2018-03-20,3.62
810,2018-03-21,3.54
811,2018-03-22,3.48
812,2018-03-23,3.45
813,2018-03-24,3.46
814,2018-03-25,3.45
815,2018-03-26,3.41
816,2018-03-27,3.37
817,2018-03-28,3.35
818,2018-03-29,4.17
819,2018-03-30,4.1
820,2018-03-31,4.14
821,2018-01-04,3.41
822,2018-02-04,3.38
823,2018-03-04,3.36
824,2018-04-04,3.36
825,2018-05-04,3.34
826,2018-06-04,3.33
827,2018-07-04,3.32
828,2018-08-04,3.3
829,2018-09-04,3.3
830,2018-10-04,3.37
831,2018-11-04,3.43
832,2018-12-04,3.4
833,2018-04-13,3.36
834,2018-04-14,3.32
835,2018-04-15,3.4
836,2018-04-16,3.41
837,2018-04-17,3.34
838,2018-04-18,3.3
839,2018-04-19,3.28
840,2018-04-20,3.27
841,2018-04-21,3.27
842,2018-04-22,3.25
843,2018-04-23,3.25
844,2018-04-24,3.23
845,2018-04-25,3.67
846,2018-04-26,4.13
847,2018-04-27,3.96
848,2018-04-28,4.12
849,2018-04-29,4.31
850,2018-04-30,4.17
851,2018-01-05,4.16
852,2018-02-05,4.15
853,2018-03-05,4.2
854,2018-04-05,4.24
855,2018-05-05,4.25
856,2018-06-05,4.19
857,2018-07-05,4.11
858,2018-08-05,4.14
859,2018-09-05,4.17
860,2018-10-05,4.14
861,2018-11-05,4.22
862,2018-12-05,4.25
863,2018-05-13,4.29
864,2018-05-14,4.28
865,2018-05-15,4.26
866,2018-05-16,4.29
867,2018-05-17,4.24
868,2018-05-18,4.28
869,2018-05-19,4.32
870,2018-05-20,4.31
871,2018-05-21,4.27
872,2018-05-22,4.23
873,2018-05-23,4.18
874,2018-05-24,4.2
875,2018-05-25,4.14
876,2018-05-26,4.16
877,2018-05-27,4.18
878,2018-05-28,4.33
879,2018-05-29,4.63
880,2018-05-30,4.61
881,2018-05-31,4.8
882,2018-01-06,4.12
883,2018-02-06,4.13
884,2018-03-06,4.25
885,2018-04-06,4.24
886,2018-05-06,4.3
887,2018-06-06,4.36
888,2018-07-06,4.34
889,2018-08-06,4.22
890,2018-09-06,4.27
891,2018-10-06,4.35
892,2018-11-06,4.21
893,2018-12-06,4.27
894,2018-06-13,4.33
895,2018-06-14,4.4
896,2018-06-15,4.44
897,2018-06-16,4.37
898,2018-06-17,4.25
899,2018-06-18,4.17
900,2018-06-19,4.18
901,2018-06-20,4.27
902,2018-06-21,4.25
903,2018-06-22,4.27
904,2018-06-23,4.69
905,2018-06-24,4.69
906,2018-06-25,4.69
907,2018-06-26,4.69
908,2018-06-27,4.69
909,2018-06-28,4.69
910,2018-06-29,4.58
911,2018-06-30,4.64
912,2018-01-07,4.62
913,2018-02-07,4.55
914,2018-03-07,4.55
915,2018-04-07,4.55
916,2018-05-07,4.65
917,2018-06-07,4.6
918,2018-07-07,4.68
919,2018-08-07,4.75
920,2018-09-07,4.68
921,2018-10-07,4.6
922,2018-11-07,4.76
923,2018-12-07,4.85
924,2018-07-13,4.88
925,2018-07-14,4.85
926,2018-07-15,4.82
927,2018-07-16,4.85
928,2018-07-17,4.86
929,2018-07-18,4.91
930,2018-07-19,4.86
931,2018-07-20,4.79
932,2018-07-21,4.7
933,2018-07-22,4.83
934,2018-07-23,4.84
935,2018-07-24,4.63
936,2018-07-25,4.65
937,2018-07-26,4.69
938,2018-07-27,4.6
939,2018-07-28,4.57
940,2018-07-29,4.65
941,2018-07-30,4.84
942,2018-07-31,5.55
943,2018-01-08,4.75
944,2018-02-08,4.78
945,2018-03-08,4.87
946,2018-04-08,4.9
947,2018-05-08,4.92
948,2018-06-08,4.86
949,2018-07-08,4.75
950,2018-08-08,4.77
951,2018-09-08,4.78
952,2018-10-08,4.74
953,2018-11-08,4.82
954,2018-12-08,4.86
955,2018-08-13,4.88
956,2018-08-14,4.91
957,2018-08-15,4.88
958,2018-08-16,4.87
959,2018-08-17,4.95
960,2018-08-18,4.97
961,2018-08-19,4.86
962,2018-08-20,4.71
963,2018-08-21,4.78
964,2018-08-22,4.72
965,2018-08-23,4.76
966,2018-08-24,4.87
967,2018-08-25,4.85
968,2018-08-26,4.85
969,2018-08-27,4.85
970,2018-08-28,4.79
971,2018-08-29,5.25
972,2018-08-30,5.35
973,2018-08-31,4.73
974,2018-01-09,4.78
975,2018-02-09,4.75
976,2018-03-09,4.6
977,2018-04-09,4.66
978,2018-05-09,4.76
979,2018-06-09,4.69
980,2018-07-09,4.59
981,2018-08-09,4.62
982,2018-09-09,4.63
983,2018-10-09,4.61
984,2018-11-09,4.83
985,2018-12-09,4.99
986,2018-09-13,5.0
987,2018-09-14,5.01
988,2018-09-15,5.12
989,2018-09-16,5.11
990,2018-09-17,4.93
991,2018-09-18,5.09
992,2018-09-19,5.19
993,2018-09-20,5.05
994,2018-09-21,5.04
995,2018-09-22,5.14
996,2018-09-23,5.23
997,2018-09-24,5.18
998,2018-09-25,5.12
999,2018-09-26,5.18
1000,2018-09-27,5.23
1001,2018-09-28,4.19
1002,2018-09-29,4.39
1003,2018-09-30,4.39
1004,2018-01-10,5.38
1005,2018-02-10,5.35
1006,2018-03-10,5.27
1007,2018-04-10,5.21
1008,2018-05-10,5.13
1009,2018-06-10,5.14
1010,2018-07-10,5.08
1011,2018-08-10,5.09
1012,2018-09-10,5.06
1013,2018-10-10,5.1
1014,2018-11-10,5.07
1015,2018-12-10,5.01
1016,2018-10-13,5.41
1017,2018-10-14,5.08
1018,2018-10-15,4.76
1019,2018-10-16,4.64
1020,2018-10-17,5.0
1021,2018-10-18,5.25
1022,2018-10-19,5.13
1023,2018-10-20,4.82
1024,2018-10-21,4.97
1025,2018-10-22,5.55
1026,2018-10-23,5.24
1027,2018-10-24,5.02
1028,2018-10-25,4.98
1029,2018-10-26,4.65
1030,2018-10-27,4.5
1031,2018-10-28,4.34
