Date,Sg. Besut Jerteh (m)
30/9/2018,1.08
1/10/2018,2.08
2/10/2018,2.09
3/10/2018,2.19
4/10/2018,2.21
5/10/2018,2.26
6/10/2018,1.22
7/10/2018,0.75
8/10/2018,0.68
9/10/2018,0.97
10/10/2018,0.99
11/10/2018,1.16
12/10/2018,1.15
13/10/2018,1.04
14/10/2018,0.65
15/10/2018,0.63
16/10/2018,0.63
17/10/2018,0.61
18/10/2018,0.64
19/10/2018,0.7
20/10/2018,0.72
21/10/2018,0.72
22/10/2018,0.72
23/10/2018,0.66
24/10/2018,0.66
25/10/2018,0.65
26/10/2018,0.71
27/10/2018,0.74
28/10/2018,0.85
29/10/2018,0.68
30/10/2018,0.64
31/10/2018,0.64
1/11/2018,0.93
2/11/2018,1.57
3/11/2018,3
4/11/2018,1.63
5/11/2018,2.05
6/11/2018,3.47
7/11/2018,1.99
8/11/2018,1.51
9/11/2018,1.71
10/11/2018,1.38
11/11/2018,1.34
12/11/2018,1.27
13/11/2018,1.19
14/11/2018,1.03
15/11/2018,1.17
16/11/2018,1.19
17/11/2018,0.75
18/11/2018,0.69
19/11/2018,1.11
20/11/2018,1.17
21/11/2018,0.95
22/11/2018,0.79
23/11/2018,0.79
24/11/2018,0.76
25/11/2018,0.69
26/11/2018,0.72
27/11/2018,0.76
28/11/2018,0.79
29/11/2018,0.86
30/11/2018,0.78
1/12/2018,1.99
2/12/2018,1.73
3/12/2018,1.38
4/12/2018,1.51
5/12/2018,2.45
6/12/2018,2.67
7/12/2018,1.92
8/12/2018,1.09
9/12/2018,0.65
10/12/2018,1.55
11/12/2018,1.29
12/12/2018,2.82
13/12/2018,4.35
14/12/2018,2.26
15/12/2018,3.95
16/12/2018,2.73
17/12/2018,2.56
18/12/2018,2
19/12/2018,1.64
20/12/2018,1.46
21/12/2018,1.12
22/12/2018,1.24
23/12/2018,1.09
24/12/2018,1.07
25/12/2018,1.05
26/12/2018,1.02
27/12/2018,0.91
28/12/2018,0.94
29/12/2018,0.94
30/12/2018,0.94
31/12/2018,0.94
1/1/2019,0.85
2/1/2019,0.86
3/1/2019,1.07
4/1/2019,0.94
5/1/2019,0.88
6/1/2019,0.79
7/1/2019,1.01
8/1/2019,0.98
9/1/2019,1.02
10/1/2019,1.09
11/1/2019,0.73
12/1/2019,0.92
13/1/2019,1.2
14/1/2019,0.94
15/1/2019,0.69
16/1/2019,0.8
17/1/2019,1.21
18/1/2019,1.24
19/1/2019,1.13
20/1/2019,0.93
21/1/2019,1.12
22/1/2019,2.26
23/1/2019,2.28
24/1/2019,2.25
25/1/2019,2.31
26/1/2019,2.33
27/1/2019,2.15
28/1/2019,2.17
29/1/2019,2.27
30/1/2019,2.27
31/1/2019,2.17
1/2/2019,2.21
2/2/2019,2.29
3/2/2019,2.46
4/2/2019,2.21
5/2/2019,2.14
6/2/2019,2.23
7/2/2019,2.21
8/2/2019,2.14
9/2/2019,2.13
10/2/2019,2.19
11/2/2019,2.18
12/2/2019,2.17
13/2/2019,2.35
14/2/2019,2.41
15/2/2019,2.22
16/2/2019,2.21
17/2/2019,2.15
18/2/2019,2.16
19/2/2019,2.14
20/2/2019,2.2
21/2/2019,2.13
22/2/2019,2.07
23/2/2019,2.15
24/2/2019,2.18
25/2/2019,2.08
26/2/2019,2.08
27/2/2019,2.07
28/2/2019,2.08
1/3/2019,2.06
2/3/2019,2.05
3/3/2019,2.05
4/3/2019,2.04
5/3/2019,2.06
6/3/2019,2.04
7/3/2019,2.04
8/3/2019,2.04
9/3/2019,2.04
10/3/2019,2.04
11/3/2019,2.04
12/3/2019,2.04
13/3/2019,2.03
14/3/2019,2.02
15/3/2019,2.02
16/3/2019,2.01
17/3/2019,1.96
18/3/2019,2
19/3/2019,2.01
20/3/2019,2.01
21/3/2019,2.01
22/3/2019,2.01
23/3/2019,2
24/3/2019,2
25/3/2019,2
26/3/2019,2.01
27/3/2019,2.01
28/3/2019,2.01
29/3/2019,1.81
30/3/2019,1.77
31/3/2019,2.05
1/4/2019,2.01
2/4/2019,2.01
3/4/2019,2.01
4/4/2019,2.01
5/4/2019,2.01
6/4/2019,2.01
7/4/2019,2.01
8/4/2019,2.01
9/4/2019,2
10/4/2019,2
11/4/2019,2
12/4/2019,2.01
13/4/2019,2.04
14/4/2019,2.16
15/4/2019,2.13
16/4/2019,2.09
17/4/2019,2.01
18/4/2019,2.01
19/4/2019,2
20/4/2019,2
21/4/2019,1.99
22/4/2019,1.97
23/4/2019,1.93
24/4/2019,1.92
25/4/2019,1.91
26/4/2019,1.95
27/4/2019,2.06
28/4/2019,2.01
29/4/2019,1.92
30/4/2019,1.93
1/5/2019,2.07
2/5/2019,1.98
3/5/2019,1.91
4/5/2019,1.91
5/5/2019,1.92
6/5/2019,1.91
7/5/2019,1.9
8/5/2019,1.99
9/5/2019,2.01
10/5/2019,2
11/5/2019,2
12/5/2019,2
13/5/2019,2.01
14/5/2019,2.01
15/5/2019,2.02
16/5/2019,2.07
17/5/2019,2.08
18/5/2019,2.08
19/5/2019,2.09
20/5/2019,2.08
21/5/2019,2.04
22/5/2019,2.01
23/5/2019,1.96
24/5/2019,1.93
25/5/2019,2.08
26/5/2019,2.11
27/5/2019,2.01
28/5/2019,1.94
29/5/2019,0.64
30/5/2019,0.75
31/5/2019,2.12
1/6/2019,2.07
2/6/2019,2.05
3/6/2019,2.03
4/6/2019,1.41
5/6/2019,1.87
6/6/2019,2.51
7/6/2019,2.53
8/6/2019,2.16
9/6/2019,2.12
10/6/2019,1.65
11/6/2019,0.97
12/6/2019,1.59
13/6/2019,2.07
14/6/2019,2.09
15/6/2019,2.27
16/6/2019,2.18
17/6/2019,2.39
18/6/2019,2.43
19/6/2019,2.53
20/6/2019,2.19
21/6/2019,2.18
22/6/2019,2.18
23/6/2019,2.22
